Equipo,Clasificacion_por_Puntos,Partidos_Jugados,Partidos_Ganados,Partidos_Perdidos,Sets_a_Favor,Sets_en_contra,Puntos_a_Favor,Puntos_en_Contra,Resultados_3-0,Resultados_3-1,Resultados_3-2,Resultados_2-3,Resultados_1-3,Resultados_0-3,Coef_Sets,Coef_Puntos,Sanciones,Posicion_final_act,Temp,0,1,Posicion_final_Ant,Eficacia_Recepcion_Fin,Eficacia_Ataques_Punto_Fin,Efectividad_Saque_Fin,Efect_Bloqueo_Fin,Coef_Efec_Puntos_Fin,Eficacia_Recepcion_Ini,Eficacia_Ataques_Punto_Ini,Efectividad_Saque_Ini,Efect_Bloqueo_Ini,Coef_Efec_Puntos_Ini
Avarca_de_Menorca,35.0,22.0,12.0,10.0,44.0,39.0,1849.0,1812.0,6.0,3.0,3.0,2.0,4.0,4.0,113.0,1020.0,-,5,21/22,,,4,0.6066666666666667,0.3983333333333334,0.04851022785510404,0.42128444922504715,5.882519841269841,0.549,0.333,0.06045711466748627,0.408271319844289,8.472683427683426
Haro_Rioja,35.0,22.0,11.0,11.0,45.0,43.0,1933.0,1906.0,4.0,4.0,3.0,5.0,2.0,4.0,105.0,1014.0,-,6,21/22,,,7,0.5027272727272728,0.3227272727272727,0.041798442132355576,0.2697534815862117,6.4595055413469735,0.4975,0.245,0.06066000079718641,0.2617798867798868,8.411796536796537
Dos_Hermanas,29.0,22.0,11.0,11.0,39.0,46.0,1803.0,1882.0,3.0,3.0,5.0,1.0,4.0,6.0,85.0,958.0,-,7,21/22,,,8,0.5458333333333333,0.2725,0.03863651852906151,0.4474012689370271,6.639732258482258,0.5,0.37777777777777777,0.07851567425219647,0.4053523287166425,4.32000407000407
Emeve,29.0,22.0,8.0,14.0,42.0,51.0,1912.0,1957.0,2.0,3.0,3.0,8.0,2.0,4.0,82.0,977.0,-,8,21/22,,,9,0.6864285714285714,0.3821428571428571,0.07963458127325677,0.49811804719758884,5.215024303182198,0.6542857142857142,0.2342857142857143,0.08249281108843733,0.47787551384190047,6.192253360674414
Alcobendas,28.0,22.0,9.0,13.0,40.0,44.0,1798.0,1824.0,6.0,1.0,2.0,3.0,7.0,3.0,91.0,986.0,-,9,21/22,,,1,0.458,0.251,0.052726778510577076,0.24126898953254478,6.334632034632035,0.6033333333333334,0.5266666666666667,0.04884987771107473,0.26881720430107525,6.612023353402663
Sayre,28.0,22.0,9.0,13.0,37.0,48.0,1827.0,1861.0,3.0,3.0,3.0,4.0,2.0,7.0,77.0,982.0,-,10,21/22,,,10,0.54875,0.28875,0.043635546154808635,0.26076535452861827,6.548345295055821,0.47333333333333333,0.2916666666666667,0.06336700210365173,0.46634680134680134,4.099754631333579
Barça,19.0,22.0,7.0,15.0,27.0,55.0,1715.0,1888.0,1.0,2.0,4.0,2.0,2.0,11.0,49.0,908.0,-,11,21/22,,,13,0.6533333333333333,0.25666666666666665,0.07678133384205287,0.25503334039996894,5.519047619047619,,,,,
Leganes,6.0,21.0,1.0,20.0,13.0,60.0,1424.0,1842.0,1.0,0.0,0.0,3.0,4.0,13.0,22.0,773.0,-,12,21/22,,,13,0.48888888888888893,0.22444444444444445,0.040352648795867516,0.32745832361799,4.135048901715568,0.485,0.39,0.039310859825048006,0.5310843373493976,6.545454545454545
Alcobendas,49.0,22.0,17.0,5.0,55.0,28.0,1904.0,1757.0,7.0,7.0,3.0,1.0,2.0,2.0,196.0,1084.0,-,1,20/21,,,3,0.5822222222222222,0.4811111111111111,0.03693922561312875,0.3242010182894652,7.072279347127218,0.6214285714285713,0.29714285714285715,0.06131676765400275,0.3104801114402059,6.628571428571429
CCO_7_PALMAS,49.0,22.0,16.0,6.0,55.0,25.0,1846.0,1606.0,11.0,3.0,2.0,3.0,1.0,2.0,220.0,1149.0,-,2,20/21,,,6,0.6383333333333333,0.3566666666666667,0.07952154209883894,0.4087194413207169,5.79810366962877,0.6599999999999999,0.33399999999999996,0.06154970606829621,0.3565191098209966,8.215131578947368
Libby's_La_Laguna,49.0,22.0,16.0,6.0,56.0,29.0,1919.0,1707.0,8.0,5.0,3.0,4.0,0.0,2.0,193.0,1124.0,-,3,20/21,,,4,0.7077777777777778,0.32,0.04813219945115244,0.3321367908690044,6.140876900876901,0.78,0.0,,0.0,0.0
Avarca_de_Menorca,47.0,22.0,16.0,6.0,53.0,29.0,1869.0,1687.0,8.0,5.0,3.0,2.0,1.0,3.0,183.0,1108.0,-,4,20/21,,,2,0.5325,0.315,0.05413877025569067,0.3934132277452052,6.518768404797816,0.5842857142857143,0.4342857142857143,0.05188779561004248,0.4015151515151515,4.533672416334955
Sant_Cugat,39.0,22.0,14.0,8.0,49.0,36.0,1914.0,1814.0,6.0,4.0,4.0,1.0,5.0,2.0,136.0,1055.0,-,5,20/21,,,11,0.60875,0.29,0.06365993972792808,0.2310719557300913,6.905167748917749,0.6699999999999999,0.32799999999999996,0.07148714761012523,0.33323268921095006,6.163888888888889
Socuellamos,38.0,22.0,14.0,8.0,48.0,39.0,1961.0,1837.0,5.0,3.0,6.0,2.0,2.0,4.0,123.0,1068.0,-,6,20/21,,,7,0.6587500000000001,0.28375,0.057831716634886676,0.330637324871767,8.096458333333333,0.6725,0.29,0.0518623291390145,0.27161660532987375,6.125
Haro_Rioja,37.0,22.0,13.0,9.0,45.0,42.0,1925.0,1960.0,2.0,7.0,4.0,2.0,2.0,5.0,107.0,982.0,-,7,20/21,,,5,0.54125,0.23875,0.04767938604486038,0.2123923514846765,7.084686147186147,0.6533333333333333,0.34,0.06923639772491388,0.293314260401444,9.53531991744066
Dos_Hermanas,23.0,22.0,6.0,16.0,35.0,55.0,1825.0,2019.0,1.0,3.0,2.0,7.0,3.0,6.0,64.0,904.0,-,8,20/21,,,9,0.52,0.332,0.06134345213288891,0.46283626224711566,6.6215909090909095,0.5442857142857143,0.2928571428571428,0.061493810791516834,0.5138839161395553,7.66967418546366
Emeve,19.0,22.0,6.0,16.0,30.0,54.0,1700.0,1913.0,3.0,0.0,3.0,4.0,4.0,8.0,56.0,889.0,-,9,20/21,,,13,0.696,0.26,0.0625495097497501,0.48439826839826844,5.843264221158958,,,,,
Sayre,18.0,22.0,7.0,15.0,29.0,54.0,1790.0,1906.0,1.0,3.0,3.0,0.0,8.0,7.0,54.0,939.0,-,10,20/21,,,13,0.49000000000000005,0.302,0.05751279416248065,0.5014031007751938,6.805773524720893,0.63,0.35,0.030303030303030304,0.4444444444444444,10.666666666666666
Madrid_Chamberi,15.0,22.0,4.0,18.0,24.0,55.0,1648.0,1801.0,3.0,1.0,0.0,3.0,6.0,9.0,44.0,915.0,-,11,20/21,,,10,0.58,0.33799999999999997,0.06486058316104723,0.4357634678320953,5.577373547505127,0.616,0.312,0.0282377890427426,0.4076275451841684,5.389954751131222
Algar_Surmenor,13.0,22.0,3.0,19.0,24.0,57.0,1641.0,1935.0,3.0,0.0,0.0,4.0,7.0,8.0,42.0,848.0,-,12,20/21,,,8,0.6025,0.3275,0.05743326174587757,0.2679435483870968,4.91380373439197,0.44399999999999995,0.23399999999999999,0.05915491455595914,0.3025049254151421,4.522506265664161
Logroño,57.0,19.0,18.0,1.0,55.0,7.0,1523.0,1038.0,14.0,4.0,0.0,0.0,1.0,0.0,786.0,1467.0,-,1,19/20,,,1,0.6900000000000001,0.3657142857142857,0.06742973156882479,0.32175030124416654,8.198652882205513,0.65,0.36,0.0691096244660371,0.28640136909205377,6.361555876593471
Avarca_de_Menorca,48.0,20.0,16.0,4.0,51.0,23.0,1735.0,1509.0,6.0,9.0,1.0,1.0,1.0,2.0,222.0,1150.0,-,2,19/20,,,5,0.60125,0.44,0.04901865587565734,0.32071732159218164,6.390866873065016,0.65125,0.28500000000000003,0.06925664799456059,0.2265238829341348,7.943082611832612
Alcobendas,43.0,20.0,15.0,5.0,47.0,24.0,1620.0,1442.0,8.0,5.0,2.0,0.0,2.0,3.0,196.0,1123.0,-,3,19/20,,,3,0.627,0.33599999999999997,0.052755798323144525,0.3069657076377737,6.045741626794259,0.5575,0.23,0.03515073990029526,0.11105404551201012,5.552083333333333
Libby's_La_Laguna,40.0,20.0,14.0,6.0,47.0,29.0,1708.0,1589.0,6.0,5.0,3.0,1.0,3.0,2.0,162.0,1075.0,-,4,19/20,,,4,0.687142857142857,0.3,0.05754677539706592,0.45446405970531206,6.326148705096074,0.71,0.236,0.06825932074427613,0.31186584789796884,5.44695238095238
Haro_Rioja,40.0,20.0,13.0,7.0,45.0,30.0,1690.0,1611.0,5.0,7.0,1.0,2.0,2.0,3.0,150.0,1049.0,-,5,19/20,,,7,0.6714285714285715,0.3314285714285714,0.06587961920316614,0.26574450198563043,8.534033613445377,0.51,0.3211111111111111,0.06458094117207135,0.2966304203683998,7.166941013050853
CCO_7_PALMAS,37.0,20.0,12.0,8.0,44.0,28.0,1616.0,1493.0,9.0,2.0,1.0,2.0,4.0,2.0,157.0,1082.0,-,6,19/20,,,6,0.6454545454545454,0.33454545454545453,0.06914334566397923,0.42308375523390845,5.886443381180223,0.546,0.335,0.044754075938807224,0.21580006951922623,5.8215079365079365
Socuellamos,30.0,20.0,10.0,10.0,35.0,37.0,1570.0,1597.0,4.0,5.0,1.0,1.0,3.0,6.0,95.0,983.0,-,7,19/20,,,13,0.635,0.275,0.05333100606447738,0.2802351229705014,6.443450956937799,0.55,0.4,0.059490084985835696,0.3142857142857143,14.142857142857142
Algar_Surmenor,21.0,20.0,7.0,13.0,30.0,47.0,1536.0,1723.0,2.0,2.0,3.0,3.0,3.0,7.0,64.0,892.0,-,8,19/20,,,13,0.5177777777777778,0.2644444444444444,0.06218416347126614,0.46697546312437194,6.605767891952103,0.58,0.42,0.024691358024691357,0.42592592592592593,12.2
Dos_Hermanas,20.0,20.0,7.0,13.0,31.0,45.0,1584.0,1696.0,4.0,0.0,3.0,2.0,6.0,5.0,69.0,934.0,-,9,19/20,,,8,0.6142857142857142,0.30142857142857143,0.06307763145428487,0.5576377813219918,8.34110275689223,0.635,0.27875,0.0558335472509142,0.32014339826839827,5.414082792207792
