Apellido,Nombre,Equipo,Partidos_Jugados,Sets_Jugados,Puntos_Jugados,Break_Points,G-P,Error_Saque,Saque_Facil,Saque_Mediopunto,Saque_Negativo,Saque_Positivo,Saque_Punto,Error_Recepcion,Recepcion_Facil,Recepcion_Vendida,Recepcion_Negativa,Recepcion_Positiva,Recepcion_Perfecta,Eficacia_Recepcion_porcentaje,Recepciones_Perfectas_porcentaje,Error_Ataque,Ataque_Facil,Ataque_Bloqueado,Ataque_Negativo,Ataque_Positivo,Ataque_Punto,Eficacia_Ataques_punto,Error_Bloqueo,Bloqueo_Facil,Contacto_Red,Bloqueo_Negativo,Bloqueo_Positivo,Bloqueo_Punto,Temp,Efectividad_Saque_porcentaje,Efectividad_Bloqueo_porcentaje,Coef_Efec_Puntos,Coef_jugado,Temp_prox,Equipo_prox
Lemos,Bruna,Socuellamos,20,58,27,16,2,19,6,11,52,52,6,2,0,1,0,0,0,0.0,0.0,1,0,3,7,3,14,0.5,12,1,0,1,0,7,19/20,0.0410958904109589,0.3333333333333333,1.35,0.8055555555555556,20/21,
Llabres Herrera,Patricia,Logroño,20,66,0,0,-11,0,0,0,0,0,0,11,13,5,40,90,163,0.79,0.51,0,0,0,0,1,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,1.064516129032258,20/21,Libby's_La_Laguna
Llorens Fernández,Cristina,Avarca_de_Menorca,5,14,20,11,14,1,0,1,11,11,1,0,0,0,6,4,5,0.6,0.33,4,0,1,13,2,18,0.47,1,0,0,0,0,1,19/20,0.04,0.5,4.0,0.1891891891891892,20/21,Avarca_de_Menorca
López,Vanessa,Algar_Surmenor,17,49,84,31,38,14,2,6,28,27,5,0,0,0,0,0,0,0.0,0.0,19,2,13,103,27,74,0.31,2,1,0,0,3,5,19/20,0.06097560975609756,0.45454545454545453,4.9411764705882355,0.6363636363636364,20/21,
López Saez,Miriam,Algar_Surmenor,20,70,21,10,11,7,8,5,80,68,8,1,0,0,1,0,0,0.0,0.0,1,0,1,35,12,11,0.18,6,0,0,3,4,2,19/20,0.045454545454545456,0.13333333333333333,1.05,0.9090909090909091,20/21,Algar_Surmenor
Maldonado Baldassarre,Camila,Sant_Cugat,20,73,224,96,156,15,11,13,71,81,15,0,0,0,0,1,0,1.0,0.0,29,20,24,99,56,157,0.41,27,24,0,6,29,52,19/20,0.07281553398058252,0.37681159420289856,11.2,1.0,20/21,Sant_Cugat
Malloy,Alexandra Lindsay,Alcobendas,20,71,337,133,223,21,8,18,80,136,19,1,0,1,1,2,0,0.4,0.0,59,4,33,245,90,288,0.4,18,6,0,2,3,30,19/20,0.0673758865248227,0.5084745762711864,16.85,1.0,20/21,Alcobendas
Mansilla,Sofía,Alcobendas,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,0.0,0.0,0.0,0.04225352112676056,20/21,
Manzano Romero,Saray,CCO_7_PALMAS,19,69,309,119,114,60,4,8,62,100,24,19,3,29,58,136,150,0.72,0.38,69,3,47,81,132,268,0.45,16,4,0,0,2,17,19/20,0.09302325581395349,0.4358974358974359,16.263157894736842,0.9583333333333334,20/21,CCO_7_PALMAS
Martín Caballero,Claudia,CCO_7_PALMAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.013888888888888888,20/21,
Martín Carrasco,Lucia,Dos_Hermanas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.013157894736842105,20/21,
Martín Garrido,Ana,Alcobendas,3,7,8,4,2,3,0,0,10,10,1,0,0,0,0,0,0,0.0,0.0,3,0,0,4,0,5,0.42,4,0,0,0,0,2,19/20,0.041666666666666664,0.3333333333333333,2.6666666666666665,0.09859154929577464,20/21,
Martínez Miquel,Anna,Barça,14,47,0,0,-28,0,0,0,0,0,0,28,14,23,80,82,84,0.53,0.27,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.746031746031746,20/21,
Martínez Vela,Paola,Haro_Rioja,19,61,168,52,81,15,1,8,49,52,10,0,0,0,1,2,1,0.75,0.25,40,0,32,81,84,141,0.37,28,2,0,9,5,17,19/20,0.07407407407407407,0.2786885245901639,8.842105263157896,0.8133333333333334,20/21,Socuellamos
Matamoros,Natalia,Sant_Cugat,16,42,74,35,11,10,9,7,29,59,5,18,11,21,47,52,81,0.58,0.35,17,5,18,67,20,62,0.33,5,0,0,0,4,7,19/20,0.04201680672268908,0.4375,4.625,0.5753424657534246,20/21,Sant_Cugat
Meche,Clavie,Madrid_Chamberi,1,2,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.02666666666666667,20/21,
Medina Chacoa,Winderlys Gisel,Dos_Hermanas,19,73,263,103,79,33,9,4,84,92,11,27,0,22,117,137,246,0.7,0.45,58,0,66,230,115,224,0.32,5,0,0,1,2,28,19/20,0.04721030042918455,0.7777777777777778,13.842105263157896,0.9605263157894737,20/21,Dos_Hermanas
Mercado Chavez,Erika,CCO_7_PALMAS,20,69,277,106,139,29,8,13,49,82,13,0,0,0,2,3,2,0.71,0.29,68,5,41,96,103,235,0.43,16,4,0,5,6,29,19/20,0.06701030927835051,0.48333333333333334,13.85,0.9583333333333334,20/21,
Michele Savard,Vicky Marie,Libby's_La_Laguna,19,70,238,98,92,39,8,7,78,119,18,29,3,14,88,67,122,0.59,0.38,49,1,29,66,130,195,0.41,6,3,0,3,1,25,19/20,0.06691449814126393,0.6578947368421053,12.526315789473685,0.9210526315789473,20/21,
Miguel de Blas,Paula,Socuellamos,17,46,50,20,10,23,0,10,32,43,6,0,0,0,0,2,0,1.0,0.0,8,0,9,30,19,34,0.34,12,1,0,0,1,10,19/20,0.05263157894736842,0.4166666666666667,2.9411764705882355,0.6388888888888888,20/21,Socuellamos
Naranjo Martin,Laura,CCO_7_PALMAS,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.0,0.25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.027777777777777776,20/21,
Olalla Gómez,Alejandra,Madrid_Chamberi,17,64,127,50,66,26,34,9,54,58,14,1,0,1,3,5,0,0.5,0.0,21,2,13,69,23,87,0.4,13,1,0,3,4,26,19/20,0.07179487179487179,0.5531914893617021,7.470588235294118,0.8533333333333334,20/21,Madrid_Chamberi
Orejas Tans,Helena,Barça,19,62,133,49,-27,38,10,20,34,53,16,48,39,27,109,121,96,0.49,0.22,35,32,39,194,61,108,0.23,23,5,0,2,8,9,19/20,0.0935672514619883,0.19148936170212766,7.0,0.9841269841269841,20/21,
Orozco Andreu,Mireia,Sant_Cugat,19,63,168,53,61,16,5,9,62,106,8,3,3,5,20,8,10,0.37,0.2,48,11,40,161,60,143,0.31,16,3,0,3,2,17,19/20,0.038834951456310676,0.4146341463414634,8.842105263157896,0.863013698630137,20/21,
Ortiz Carmona,Alba,Dos_Hermanas,5,9,3,1,0,3,0,1,9,4,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,2,0.33,0,0,0,0,1,0,19/20,0.05555555555555555,0.0,0.6,0.11842105263157894,20/21,Dos_Hermanas
Palau Vilaseca,Berta,Sant_Cugat,2,3,2,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,1,2,0.67,0,0,0,0,0,0,19/20,0.0,0.0,1.0,0.0410958904109589,20/21,
Paz González,María,Madrid_Chamberi,17,53,91,34,47,16,19,4,59,40,5,1,0,0,2,2,3,0.63,0.38,11,0,16,41,17,62,0.42,4,1,0,2,0,24,19/20,0.03496503496503497,0.7741935483870968,5.352941176470588,0.7066666666666667,20/21,
Pejkovic,Iva,Logroño,14,35,70,37,54,5,7,5,58,29,3,1,0,0,0,0,0,0.0,0.0,4,1,6,31,18,48,0.44,19,4,0,5,13,19,19/20,0.028037383177570093,0.31666666666666665,5.0,0.5645161290322581,20/21,Madrid_Chamberi
Perdomo Ramírez,Omaira,CCO_7_PALMAS,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0.5,0,0,0,0,0,1,19/20,,1.0,0.6666666666666666,0.041666666666666664,20/21,
Pérez Cebollada,Paula,Madrid_Chamberi,11,40,90,41,53,6,16,3,27,34,5,4,2,6,37,25,16,0.46,0.18,14,1,13,66,37,77,0.37,0,0,0,4,6,8,19/20,0.054945054945054944,0.4444444444444444,8.181818181818182,0.5333333333333333,20/21,
Pérez,Nira,Libby's_La_Laguna,20,74,0,0,-8,0,0,0,0,0,0,8,4,14,52,84,180,0.77,0.53,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.9736842105263158,20/21,Libby's_La_Laguna
Pérez Palacios,Ana,Haro_Rioja,1,3,6,3,4,1,0,1,4,3,0,0,0,0,0,0,0,0.0,0.0,0,0,1,3,0,4,0.5,4,0,0,0,0,2,19/20,0.0,0.3333333333333333,6.0,0.04,20/21,
Pérez,Selene,Libby's_La_Laguna,1,2,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,0.0,0.0,0.0,0.02631578947368421,20/21,
Pérez-Escariz,Carmen,Madrid_Chamberi,13,21,6,1,-6,4,3,0,6,7,0,4,0,0,12,17,22,0.71,0.4,1,0,3,7,5,6,0.27,0,0,0,0,0,0,19/20,0.0,0.0,0.46153846153846156,0.28,20/21,Madrid_Chamberi
Perrin,Alicia,Libby's_La_Laguna,7,27,99,44,72,9,1,3,33,42,12,0,0,0,2,0,0,0.0,0.0,6,2,12,17,27,64,0.5,5,1,0,3,2,23,19/20,0.12,0.6764705882352942,14.142857142857142,0.35526315789473684,20/21,
Piza,Margalida,Alcobendas,14,43,0,0,-24,0,0,0,0,0,0,24,10,15,41,79,126,0.69,0.43,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,,0.0,0.0,0.6056338028169014,20/21,Alcobendas
Plasencia Boquez,Javiera,CCO_7_PALMAS,19,40,8,6,3,4,2,1,14,26,4,0,0,0,2,2,4,0.75,0.5,0,0,1,1,3,3,0.38,0,0,0,0,1,1,19/20,0.0784313725490196,0.5,0.42105263157894735,0.5555555555555556,20/21,
Pons,Aina,Dos_Hermanas,20,74,228,80,115,20,2,5,80,103,18,2,0,0,0,2,1,0.6,0.2,53,4,38,246,103,194,0.3,12,0,0,0,5,16,19/20,0.07894736842105263,0.48484848484848486,11.4,0.9736842105263158,20/21,
Porras Estrada,Judith,Dos_Hermanas,20,76,183,80,90,46,4,11,75,111,40,1,0,2,6,3,6,0.5,0.33,24,1,22,71,40,111,0.41,8,3,0,3,8,32,19/20,0.13937282229965156,0.5925925925925926,9.15,1.0,20/21,Dos_Hermanas
Portero Losilla,Amelia,Haro_Rioja,12,39,108,41,59,7,0,4,51,49,4,4,1,5,32,42,77,0.74,0.48,23,0,15,84,77,99,0.33,4,0,0,4,5,5,19/20,0.034782608695652174,0.2777777777777778,9.0,0.52,20/21,Socuellamos
Rodrigues de Souza,Jacqueline,CCO_7_PALMAS,19,66,45,24,30,10,8,14,72,105,10,1,0,1,0,0,0,0.0,0.0,4,0,0,9,11,28,0.54,6,1,0,1,3,7,19/20,0.045662100456621,0.3888888888888889,2.3684210526315788,0.9166666666666666,20/21,
Rodríguez Martín,Esther,Alcobendas,11,34,7,2,-4,1,0,0,0,2,0,9,3,6,30,46,61,0.69,0.39,1,0,0,6,0,7,0.5,0,0,0,0,0,0,19/20,0.0,0.0,0.6363636363636364,0.4788732394366197,20/21,
Rodríguez Vázquez,María,Dos_Hermanas,8,20,0,0,-1,0,0,0,9,15,0,1,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,19/20,0.0,0.0,0.0,0.2631578947368421,20/21,Dos_Hermanas
Román,Gabriela,Madrid_Chamberi,20,54,107,35,38,12,19,3,35,39,5,2,0,1,3,2,0,0.25,0.0,27,1,28,103,40,99,0.33,8,1,0,0,0,3,19/20,0.04424778761061947,0.25,5.35,0.72,20/21,
Rosell Mamone,Micaela Victoria,Algar_Surmenor,16,42,59,30,40,9,1,4,49,35,4,1,0,0,0,2,0,0.67,0.0,4,0,5,35,12,33,0.37,13,4,0,0,0,22,19/20,0.0392156862745098,0.5641025641025641,3.6875,0.5454545454545454,20/21,
Rossell,Guadalupe Sol,Barça,20,51,59,23,22,6,6,1,19,31,1,2,2,2,3,4,0,0.31,0.0,15,6,14,67,25,53,0.29,9,0,0,2,2,5,19/20,0.015625,0.2777777777777778,2.95,0.8095238095238095,20/21,
Ruano Martínez,Marta,Algar_Surmenor,17,47,65,36,23,25,1,4,23,51,29,1,0,0,1,0,0,0.0,0.0,13,1,3,33,15,25,0.28,8,4,0,1,0,11,19/20,0.21804511278195488,0.4583333333333333,3.823529411764706,0.6103896103896104,20/21,
Ruiz Estevez,Rocío Ana,Dos_Hermanas,20,76,215,95,98,5,3,13,101,107,14,34,0,15,135,128,183,0.63,0.37,36,3,42,238,84,171,0.3,4,1,0,0,1,30,19/20,0.05761316872427984,0.8333333333333334,10.75,1.0,20/21,Dos_Hermanas
Saa Díaz,Carmen,Haro_Rioja,18,49,6,5,2,3,1,4,31,28,5,0,0,0,0,0,0,0.0,0.0,1,0,0,1,1,1,0.25,0,0,0,1,1,0,19/20,0.06944444444444445,0.0,0.3333333333333333,0.6533333333333333,20/21,Haro_Rioja
Sánchez,Diana,CCO_7_PALMAS,2,5,8,6,5,0,3,0,1,11,2,2,0,1,4,11,4,0.68,0.18,0,1,1,2,3,5,0.42,3,0,0,0,2,1,19/20,0.11764705882352941,0.16666666666666666,4.0,0.06944444444444445,20/21,
Sánchez,Diana,Socuellamos,11,39,79,37,27,13,4,7,52,57,7,9,1,11,37,37,84,0.68,0.47,11,3,19,87,39,67,0.3,9,1,0,1,4,5,19/20,0.05,0.25,7.181818181818182,0.5416666666666666,20/21,
Sanchez Garcia,Alba Maria,Logroño,16,48,109,53,56,10,10,12,82,57,6,5,12,5,38,51,99,0.71,0.47,18,2,20,102,43,94,0.34,14,3,0,4,3,9,19/20,0.03389830508474576,0.2727272727272727,6.8125,0.7741935483870968,20/21,CCO_7_PALMAS
Sanchez Iglesias,Noelia,Avarca_de_Menorca,20,73,258,116,148,15,3,19,117,121,18,30,6,25,92,112,177,0.65,0.4,38,4,27,202,90,220,0.38,27,3,0,1,6,20,19/20,0.06143344709897611,0.3508771929824561,12.9,0.9864864864864865,20/21,
Sánchez Sayalero,Alicia,Alcobendas,8,11,3,1,2,1,0,1,4,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,1,3,0.5,0,0,0,0,0,0,19/20,0.0,0.0,0.375,0.15492957746478872,20/21,Alcobendas
Sanchis Pellicer,María,Avarca_de_Menorca,20,45,8,8,-3,8,0,7,25,19,6,0,0,0,0,0,0,0.0,0.0,3,0,0,3,1,2,0.22,4,0,0,1,1,0,19/20,0.09230769230769231,0.0,0.4,0.6081081081081081,20/21,Avarca_de_Menorca
Sandell,Janine,Libby's_La_Laguna,20,53,93,41,33,15,1,3,53,43,13,10,0,13,50,42,92,0.65,0.44,21,2,14,40,70,71,0.33,5,2,0,3,5,9,19/20,0.1015625,0.375,4.65,0.6973684210526315,20/21,
Santana,Elena,Libby's_La_Laguna,12,25,39,8,21,8,3,2,26,32,2,2,0,1,0,0,0,0.0,0.0,5,0,3,5,14,33,0.55,0,0,0,0,2,4,19/20,0.0273972602739726,0.6666666666666666,3.25,0.32894736842105265,20/21,
Santos Hurst,Marta,Haro_Rioja,20,74,320,143,179,57,5,14,94,94,27,18,7,19,114,110,165,0.64,0.38,36,4,30,180,187,267,0.38,30,0,0,6,13,26,19/20,0.09278350515463918,0.3466666666666667,16.0,0.9866666666666667,20/21,Haro_Rioja
Saucedo,Marina,Socuellamos,20,53,16,5,9,6,2,9,43,58,2,0,0,1,0,0,0,0.0,0.0,1,0,0,7,2,12,0.55,6,3,0,2,6,2,19/20,0.016666666666666666,0.10526315789473684,0.8,0.7361111111111112,20/21,Socuellamos
Schlegel,María,Libby's_La_Laguna,20,76,245,114,113,30,0,10,117,92,18,22,9,19,93,123,241,0.72,0.48,39,1,41,67,139,201,0.41,3,2,0,0,3,26,19/20,0.06741573033707865,0.7647058823529411,12.25,1.0,20/21,
Serrano Maiz,Meriyén Victoria,Dos_Hermanas,19,73,220,82,156,21,4,9,87,68,7,3,0,1,2,3,7,0.63,0.44,19,0,21,70,34,146,0.5,6,0,0,1,2,67,19/20,0.03571428571428571,0.881578947368421,11.578947368421053,0.9605263157894737,20/21,Dos_Hermanas
Silva,Andrea,Sant_Cugat,17,33,2,1,-2,2,1,0,10,11,1,1,0,0,0,0,0,0.0,0.0,0,0,1,2,3,1,0.14,5,0,0,2,3,0,19/20,0.04,0.0,0.11764705882352941,0.4520547945205479,20/21,Dos_Hermanas
Soares,Jessica,Libby's_La_Laguna,19,56,144,58,91,27,0,0,45,77,7,0,0,0,2,4,8,0.86,0.57,11,2,15,18,50,99,0.51,8,3,0,1,3,38,19/20,0.04487179487179487,0.7169811320754716,7.578947368421052,0.7368421052631579,20/21,
Soares,Laura,Haro_Rioja,11,32,15,10,-2,15,0,3,17,25,3,0,0,0,0,0,0,0.0,0.0,1,0,1,2,7,9,0.45,8,2,0,2,4,3,19/20,0.047619047619047616,0.15789473684210525,1.3636363636363635,0.4266666666666667,20/21,Sant_Cugat
Suarez Bravo,Patricia,Libby's_La_Laguna,18,55,141,47,82,11,2,4,66,56,9,0,0,0,0,0,0,0.0,0.0,25,1,23,23,78,120,0.44,4,0,0,0,0,12,19/20,0.060810810810810814,0.75,7.833333333333333,0.7236842105263158,20/21,Libby's_La_Laguna
Surrallés Blanco,María,Barça,13,34,3,3,-3,0,1,0,4,6,2,5,6,4,21,7,10,0.32,0.19,1,0,0,4,0,1,0.17,0,0,0,0,0,0,19/20,0.15384615384615385,0.0,0.23076923076923078,0.5396825396825397,20/21,
Terrón Rodríguez,Claudia,Barça,1,3,6,4,4,1,1,0,3,4,0,1,0,0,0,0,0,0.0,0.0,0,0,0,10,1,4,0.27,2,0,0,0,1,2,19/20,0.0,0.4,6.0,0.047619047619047616,20/21,
Tetuá Calvo,Laura,Barça,19,43,4,3,-1,5,1,1,14,14,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,2,2,0.4,6,0,0,2,2,0,19/20,0.05405405405405406,0.0,0.21052631578947367,0.6825396825396826,20/21,
Thon,Mariana,Madrid_Chamberi,20,75,30,17,4,18,62,8,102,101,12,0,0,0,4,0,0,0.0,0.0,8,0,0,24,9,14,0.25,14,1,0,8,5,4,19/20,0.039603960396039604,0.125,1.5,1.0,20/21,Madrid_Chamberi
Tummino,Sofía,Libby's_La_Laguna,4,12,0,0,-3,2,0,1,4,10,0,1,0,0,1,3,6,0.82,0.55,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,0.0,0.0,0.0,0.15789473684210525,20/21,
Van Eck Rodríguez,Victoria,Dos_Hermanas,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,0.5,0.0,1.0,0.013157894736842105,20/21,Dos_Hermanas
Vera,Tatiana,Haro_Rioja,20,75,44,27,6,30,1,4,91,152,20,1,0,0,2,0,0,0.0,0.0,3,0,4,10,9,18,0.41,19,0,0,6,15,6,19/20,0.06711409395973154,0.13043478260869565,2.2,1.0,20/21,Haro_Rioja
Vicente Pérez,Claudia,Libby's_La_Laguna,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,19/20,0.0,0.0,0.0,0.02631578947368421,20/21,
Villa Navarro,Ines,Madrid_Chamberi,17,48,87,36,25,6,9,5,38,34,3,20,0,7,63,32,42,0.45,0.26,17,0,19,68,38,68,0.32,8,0,0,3,3,16,19/20,0.031578947368421054,0.5333333333333333,5.117647058823529,0.64,20/21,Madrid_Chamberi
Walsh,Anna,Socuellamos,20,72,240,94,155,31,3,14,79,85,14,2,0,1,0,1,1,0.4,0.2,22,0,30,83,60,181,0.48,41,2,0,5,8,45,19/20,0.061946902654867256,0.44554455445544555,12.0,1.0,20/21,Socuellamos
Washington,Deprece,Sant_Cugat,6,21,69,31,17,12,5,2,27,23,5,14,6,5,31,21,41,0.53,0.35,16,4,10,57,28,57,0.33,6,2,0,1,1,7,19/20,0.06756756756756757,0.4117647058823529,11.5,0.2876712328767123,20/21,
Westergaard,Maira,Avarca_de_Menorca,20,74,362,162,173,31,5,23,91,97,25,27,3,18,107,129,176,0.66,0.38,77,9,54,254,119,316,0.38,17,3,0,1,2,21,19/20,0.09191176470588236,0.4772727272727273,18.1,1.0,20/21,Avarca_de_Menorca
Wolkowyski,Florencia,Barça,10,31,67,27,14,6,8,2,17,34,5,10,4,4,13,3,1,0.11,0.03,18,9,19,104,29,57,0.24,12,6,0,1,4,5,19/20,0.06944444444444445,0.17857142857142858,6.7,0.49206349206349204,20/21,Dos_Hermanas
Zambrano Ortíz,María,Dos_Hermanas,15,32,25,4,-1,7,1,2,24,16,1,4,3,5,17,10,18,0.49,0.32,6,0,9,36,8,23,0.28,1,0,0,1,0,1,19/20,0.0196078431372549,0.3333333333333333,1.6666666666666667,0.42105263157894735,20/21,Dos_Hermanas
Aguiar Gavino,María,Emeve,4,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18/19,0.0,0.0,0.0,0.060240963855421686,19/20,
Aispurua,Natalia,Emeve,18,66,152,64,96,13,7,7,93,63,9,1,0,0,0,1,2,0.75,0.5,22,2,20,70,42,83,0.35,18,3,0,11,12,60,18/19,0.046875,0.5769230769230769,8.444444444444445,0.7951807228915663,19/20,
Alcalde Olivares,Laura,Sant_Cugat,22,85,44,27,31,7,14,14,108,118,10,1,0,0,0,0,1,0.5,0.5,4,3,1,16,6,22,0.42,25,9,0,8,12,12,18/19,0.03690036900369004,0.18181818181818182,2.0,1.0119047619047619,19/20,Sant_Cugat
Alonso,Candela,Alcobendas,12,16,2,1,-1,3,2,0,7,4,0,0,1,0,1,0,1,0.33,0.33,0,0,0,3,4,2,0.22,0,0,0,0,0,0,18/19,0.0,0.0,0.16666666666666666,0.19753086419753085,19/20,Alcobendas
Alonso Carballo,Lydia,CCO_7_PALMAS,20,74,202,72,158,12,15,4,91,55,5,1,0,1,5,5,7,0.63,0.37,16,1,15,63,45,140,0.5,68,1,0,26,29,57,18/19,0.027472527472527472,0.3149171270718232,10.1,0.9024390243902439,19/20,CCO_7_PALMAS
Alonso Corcelles,Adriana,Alcobendas,5,8,0,0,-2,2,0,1,4,6,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18/19,0.0,0.0,0.0,0.09876543209876543,19/20,Alcobendas
Alvarez del Burgo,María Alejandra,Alcobendas,24,90,43,23,1,31,23,15,125,93,14,2,0,0,0,0,0,0.0,0.0,6,1,3,13,4,19,0.41,39,8,1,3,9,10,18/19,0.046511627906976744,0.14492753623188406,1.7916666666666667,1.1111111111111112,19/20,Alcobendas
Andric,Tea,Emeve,20,69,171,65,61,20,7,13,79,77,8,15,6,18,66,73,161,0.69,0.47,35,3,40,205,87,150,0.29,12,0,0,2,1,13,18/19,0.0392156862745098,0.4642857142857143,8.55,0.8313253012048193,19/20,
Araco Serrano,Silvia,Barça,28,108,84,64,13,62,10,21,140,135,27,0,0,0,3,0,0,0.0,0.0,6,0,3,42,10,22,0.27,32,1,0,10,13,35,18/19,0.06835443037974684,0.38461538461538464,3.0,1.255813953488372,19/20,Libby's_La_Laguna
Arredondo,Lisbet,CCO_7_PALMAS,18,63,229,80,78,42,16,10,135,58,8,23,5,22,116,95,143,0.59,0.35,49,2,37,159,48,199,0.4,18,0,0,8,13,22,18/19,0.02973977695167286,0.36065573770491804,12.722222222222221,0.7682926829268293,19/20,
Barceló Puchulutegui,Clara,Haro_Rioja,17,67,0,0,-22,0,0,0,0,0,0,22,13,37,88,124,230,0.69,0.45,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18/19,,0.0,0.0,0.8072289156626506,19/20,Haro_Rioja
Barrasa García,María,Avarca_de_Menorca,22,83,83,45,49,27,5,20,123,121,21,0,0,0,2,0,0,0.0,0.0,5,0,2,30,14,37,0.42,23,0,0,10,9,25,18/19,0.06624605678233439,0.373134328358209,3.772727272727273,1.0,19/20,Avarca_de_Menorca
Batlle Sánchez,Laura,Barça,21,31,1,0,-6,7,2,2,9,16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,0.5,0,0,0,1,1,0,18/19,0.0,0.0,0.047619047619047616,0.36046511627906974,19/20,Barça
Belcher,Denisse,Haro_Rioja,20,76,244,100,113,25,33,9,106,64,6,21,9,18,117,74,154,0.58,0.39,53,5,32,138,72,215,0.42,21,0,0,8,2,23,18/19,0.024691358024691357,0.42592592592592593,12.2,0.9156626506024096,19/20,Algar_Surmenor
Beltrán,Marta,Madrid_Chamberi,22,78,133,45,41,13,7,10,97,60,4,23,7,13,69,56,177,0.68,0.51,38,6,18,145,61,117,0.3,18,3,0,4,6,12,18/19,0.020942408376963352,0.27906976744186046,6.045454545454546,0.9069767441860465,19/20,Madrid_Chamberi
Benedito,Renata,CCO_7_PALMAS,18,62,161,62,112,22,10,8,112,72,15,1,0,0,2,1,1,0.4,0.2,9,2,17,65,48,112,0.44,54,6,0,12,23,34,18/19,0.06276150627615062,0.26356589147286824,8.944444444444445,0.7560975609756098,19/20,Avarca_de_Menorca
Berbel Ventura,Aina,Sant_Cugat,22,85,240,115,89,57,8,22,50,90,36,1,0,1,4,3,5,0.57,0.36,57,14,36,109,58,150,0.35,43,32,0,13,22,54,18/19,0.13688212927756654,0.32926829268292684,10.909090909090908,1.0119047619047619,19/20,Logroño
Bonet Carreras,Julia,Sant_Cugat,15,34,32,11,12,2,1,1,29,22,2,8,2,2,26,47,24,0.65,0.22,4,4,6,32,16,29,0.32,1,0,0,4,2,1,18/19,0.03508771929824561,0.125,2.1333333333333333,0.40476190476190477,19/20,
Bové,Andrea,Sant_Cugat,16,51,0,0,-27,0,0,0,0,0,0,27,7,12,38,55,76,0.61,0.35,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18/19,,0.0,0.0,0.6071428571428571,19/20,Sant_Cugat
Bovio Del Pup,Lúa,Alcobendas,20,45,4,4,-4,8,9,4,25,24,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,2,0.67,0,0,0,0,0,0,18/19,0.027777777777777776,0.0,0.2,0.5555555555555556,19/20,
Brun Forcadell,Laura,Elche,20,53,48,18,-1,8,3,2,25,16,4,16,2,8,24,17,25,0.46,0.27,15,5,10,68,18,37,0.24,13,2,0,2,3,7,18/19,0.06896551724137931,0.25925925925925924,2.4,0.6309523809523809,19/20,
Brun Forcadell,Raquel,Barça,28,99,285,132,123,21,10,12,150,129,16,49,11,33,142,151,206,0.6,0.35,38,2,54,242,108,234,0.35,20,4,0,8,11,35,18/19,0.047337278106508875,0.44871794871794873,10.178571428571429,1.1511627906976745,19/20,CCO_7_PALMAS
Budinska,Anna,Madrid_Chamberi,19,51,19,8,-9,2,4,0,36,17,1,6,8,9,42,21,53,0.53,0.38,9,1,11,39,14,18,0.2,3,2,0,2,2,0,18/19,0.016666666666666666,0.0,1.0,0.5930232558139535,19/20,
