Apellido,Nombre,Equipo,Partidos_Jugados,Sets_Jugados,Puntos_Jugados,Break_Points,G-P,Error_Saque,Saque_Facil,Saque_Mediopunto,Saque_Negativo,Saque_Positivo,Saque_Punto,Error_Recepcion,Recepcion_Facil,Recepcion_Vendida,Recepcion_Negativa,Recepcion_Positiva,Recepcion_Perfecta,Eficacia_Recepcion_porcentaje,Recepciones_Perfectas_porcentaje,Error_Ataque,Ataque_Facil,Ataque_Bloqueado,Ataque_Negativo,Ataque_Positivo,Ataque_Punto,Eficacia_Ataques_punto,Error_Bloqueo,Bloqueo_Facil,Contacto_Red,Bloqueo_Negativo,Bloqueo_Positivo,Bloqueo_Punto,Temp,Efectividad_Saque_porcentaje,Efectividad_Bloqueo_porcentaje,Coef_Efec_Puntos,Coef_jugado,Temp_prox,Equipo_prox
Carpintero Gómez,Paula,Socuellamos,25,89,263,117,76,32,42,14,141,94,16,33,20,33,167,133,140,0.52,0.27,68,15,54,221,79,232,0.35,13,6,0,2,3,15,21/22,0.0471976401179941,0.38461538461538464,10.52,1.1125,22/23,Haro_Rioja
Carrascosas Agustín,Mar,Sayre,4,6,12,6,9,1,1,0,6,6,1,0,0,0,0,1,0,1.0,0.0,1,2,1,0,3,8,0.53,3,1,1,1,0,3,21/22,0.06666666666666667,0.375,3.0,0.07058823529411765,22/23,
Castellano Engo,Lucrecia,Gran_Canaria,16,47,94,44,54,18,5,7,50,85,12,0,0,1,0,0,0,0.0,0.0,9,2,13,6,19,54,0.52,8,2,0,1,1,28,21/22,0.06779661016949153,0.7,5.875,0.5529411764705883,22/23,Gran_Canaria
Castiglione,Yael,Emeve,21,83,74,36,42,21,10,9,109,105,10,0,0,0,0,1,0,1.0,0.0,4,1,7,27,5,46,0.51,8,2,0,1,3,18,21/22,0.03787878787878788,0.5625,3.5238095238095237,0.8924731182795699,22/23,
Cengotitabengoa,Ane,Haro_Rioja,24,95,374,152,180,21,27,27,176,81,22,1,0,1,2,0,1,0.2,0.2,87,50,85,266,105,328,0.36,32,12,0,3,10,24,21/22,0.062146892655367235,0.2962962962962963,15.583333333333334,1.0795454545454546,22/23,Haro_Rioja
Cervini,Julieta,Barça,22,82,191,74,126,21,13,5,104,103,9,1,0,1,1,0,0,0.0,0.0,27,9,16,99,39,133,0.41,37,6,0,3,7,49,21/22,0.03529411764705882,0.4803921568627451,8.681818181818182,1.0,22/23,
Curto Busnadiego,María,Leganes,18,55,0,0,-16,0,0,0,0,0,0,16,4,20,53,53,101,0.62,0.41,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21/22,,0.0,0.0,0.7534246575342466,22/23,
De Blas Jimeno,Alicia,Socuellamos,17,56,117,55,64,19,31,8,54,35,16,2,0,0,3,0,1,0.17,0.17,20,4,12,44,28,80,0.43,23,4,1,1,8,21,21/22,0.09815950920245399,0.3684210526315789,6.882352941176471,0.7,22/23,Avarca_de_Menorca
De Paula Viana,Julia,Gran_Canaria,16,36,36,19,17,9,0,4,13,26,9,0,0,1,2,2,1,0.5,0.17,6,0,4,6,23,27,0.41,0,0,0,0,0,0,21/22,0.14754098360655737,0.0,2.25,0.4235294117647059,22/23,Gran_Canaria
De Torres Ontiveros,Laura,Alcobendas,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,21/22,0.0,0.0,0.0,0.011904761904761904,22/23,Alcobendas
